albedo_max,albedo_mean,albedo_min,albedo_stdDev,date,pixel_count,timestamp,year,month,season,qa_advanced,qa_level,qa_description
0.46,0.46,0.46,0.0,2010-06-05,1,1275696000000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.77,0.6560608856088562,0.52,0.07480014524314012,2010-06-05,18,1275696000000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.77,0.6116893732970028,0.52,0.07276081227191637,2010-06-06,18,1275782400000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.9,0.7534151957022257,0.7000000000000001,0.055860613702907735,2010-06-06,14,1275782400000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.81,0.6998208955223881,0.52,0.10880949486529036,2010-06-10,9,1276128000000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.96,0.704270893371758,0.3,0.1579996483821682,2010-06-11,12,1276214400000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.7000000000000001,0.539014705882353,0.23,0.17533895745098974,2010-06-12,8,1276300800000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.6900000000000001,0.45255506607929513,0.3,0.15014396383652337,2010-06-12,9,1276300800000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.65,0.38278301886792465,0.3,0.1319978693009853,2010-06-14,8,1276473600000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.86,0.6563387978142078,0.4,0.1389466546538861,2010-06-14,9,1276473600000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.66,0.66,0.66,0.0,2010-06-20,2,1276992000000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.7000000000000001,0.6152451708766716,0.58,0.04380353866983773,2010-06-21,4,1277078400000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.77,0.6146063454759108,0.31,0.1517032922809817,2010-06-26,6,1277510400000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.41000000000000003,0.2865853658536585,0.18,0.11499999999999994,2010-06-30,2,1277856000000,2010,6,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.44,0.44,0.44,0.0,2010-07-05,1,1278288000000,2010,7,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.78,0.5287391139719804,0.14,0.22222982909316086,2010-07-06,28,1278374400000,2010,7,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.72,0.6948987108655619,0.53,0.058510148692342855,2010-07-06,8,1278374400000,2010,7,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.43,0.4206976744186047,0.35000000000000003,0.039999999999999876,2010-07-07,2,1278460800000,2010,7,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.16,0.14155038759689925,0.14,0.009999999999999796,2010-07-08,2,1278547200000,2010,7,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.66,0.5197941680960549,0.44,0.08104782538723672,2010-07-08,4,1278547200000,2010,7,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
0.29,0.25999999999999995,0.24,0.01607275126832157,2010-07-09,6,1278633600000,2010,7,Summer,True,cqa0f0123456,"Advanced QA, cqa0f0123456 level"
