albedo_max,albedo_mean,albedo_min,albedo_stdDev,date,original_satellite,pixel_count,satellite_source,timestamp,year,month,season,terra_aqua_fusion,fusion_method,terra_total_observations,aqua_total_observations,combined_daily_composites,duplicates_eliminated,qa_advanced,qa_level,qa_description
0.46,0.46,0.46,0.0,2010-06-05,Terra,1,Terra,1275696000000,2010,6,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.77,0.5156415478615072,0.29,0.14191642100725654,2010-06-06,Terra,31,Terra,1275782400000,2010,6,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.96,0.7206713505074164,0.68,0.09506848336291782,2010-06-11,Terra,11,Terra,1276214400000,2010,6,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.75,0.5859706287287746,0.33,0.10723805294763629,2010-06-12,Terra,22,Terra,1276300800000,2010,6,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.76,0.6181542968750002,0.4,0.10826921179274483,2010-06-14,Terra,18,Terra,1276473600000,2010,6,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.72,0.5997368421052631,0.38,0.09846573886435801,2010-06-20,Terra,17,Terra,1276992000000,2010,6,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.7000000000000001,0.6199213836477989,0.58,0.0325729949498057,2010-06-21,Terra,10,Terra,1277078400000,2010,6,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.73,0.5709013605442177,0.27,0.12051682685648347,2010-06-22,Terra,12,Terra,1277164800000,2010,6,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.81,0.598926080892608,0.31,0.17618448348882007,2010-06-26,Terra,12,Terra,1277510400000,2010,6,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.44,0.44,0.44,0.0,2010-07-05,Terra,1,Terra,1278288000000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.78,0.4400838439213158,0.14,0.2146011025553995,2010-07-06,Terra,34,Terra,1278374400000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.6900000000000001,0.5166163694558757,0.2,0.14238981081194854,2010-07-07,Terra,23,Terra,1278460800000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.64,0.3786576068942658,0.06,0.18251131642404358,2010-07-08,Terra,34,Terra,1278547200000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.65,0.49684709066305827,0.24,0.16166306967543934,2010-07-09,Terra,17,Terra,1278633600000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.5,0.4841047297297296,0.45,0.0169967317119761,2010-07-10,Terra,6,Terra,1278720000000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.6900000000000001,0.3604703282828284,0.12,0.20485207097452746,2010-07-17,Terra,33,Terra,1279324800000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.75,0.7115060240963854,0.67,0.02861380785565057,2010-07-18,Terra,4,Terra,1279411200000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.79,0.5206051660516606,0.36,0.1189752160780403,2010-07-20,Terra,14,Terra,1279584000000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.66,0.5236048632218845,0.41000000000000003,0.07299923896102482,2010-07-21,Terra,15,Terra,1279670400000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.46,0.318452380952381,0.23,0.0845221864364618,2010-07-23,Terra,5,Terra,1279843200000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.64,0.4852288218111004,0.21,0.14074183622082662,2010-07-25,Terra,22,Terra,1280016000000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.62,0.37538679627379495,0.11,0.18033212291827821,2010-07-26,Terra,26,Terra,1280102400000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.6900000000000001,0.4914741420976318,0.16,0.14549484526951492,2010-07-27,Terra,20,Terra,1280188800000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.53,0.2656539325842697,0.05,0.1233909673065839,2010-07-28,Terra,23,Terra,1280275200000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.73,0.2793168880455407,0.06,0.2008897519660304,2010-07-29,Terra,41,Terra,1280361600000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.64,0.374551282051282,0.1,0.16108796768639583,2010-07-30,Terra,30,Terra,1280448000000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.45,0.3422877442273535,0.22,0.07683109845567962,2010-07-31,Terra,31,Terra,1280534400000,2010,7,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.62,0.4364441416893732,0.18,0.13079882772155613,2010-08-01,Terra,24,Terra,1280620800000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.54,0.399147588894301,0.19,0.11650231377808053,2010-08-04,Terra,21,Terra,1280880000000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.67,0.2926930749501282,0.1,0.19238857983510751,2010-08-05,Terra,38,Terra,1280966400000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.62,0.3368667296786389,0.06,0.16606988302864956,2010-08-06,Terra,23,Terra,1281052800000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.52,0.4009831181727905,0.3,0.0776912961663017,2010-08-11,Terra,8,Terra,1281484800000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.58,0.2820753491393309,0.05,0.18156494829626935,2010-08-14,Terra,34,Terra,1281744000000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.59,0.33222915901579136,0.08,0.1623007062547183,2010-08-15,Terra,31,Terra,1281830400000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.58,0.25098693355574087,0.05,0.16794969661096745,2010-08-16,Terra,39,Terra,1281916800000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.4,0.29419786096256684,0.13,0.06721524298021157,2010-08-17,Terra,30,Terra,1282003200000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.52,0.28424242424242424,0.09,0.13058737008030213,2010-08-18,Terra,21,Terra,1282089600000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.27,0.20489855072463764,0.15,0.03590109871423003,2010-08-23,Terra,9,Terra,1282521600000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.17,0.13625841184387616,0.09,0.02385372088375301,2010-08-25,Terra,10,Terra,1282694400000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.8300000000000001,0.6166019061583576,0.52,0.08700831828378483,2010-08-27,Terra,31,Terra,1282867200000,2010,8,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.23,0.23,0.23,0.0,2010-09-02,Terra,1,Terra,1283385600000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.7000000000000001,0.34480800787659993,0.08,0.20791351009893727,2010-09-03,Terra,34,Terra,1283472000000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.45,0.3098327759197324,0.2,0.08053393251117373,2010-09-09,Terra,7,Terra,1283990400000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.85,0.4855903128153381,0.05,0.2316138017773928,2010-09-14,Terra,31,Terra,1284422400000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.79,0.5038095238095238,0.31,0.15948667655951737,2010-09-17,Terra,10,Terra,1284681600000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.9,0.6331658878504672,0.19,0.18676727579028027,2010-09-18,Terra,28,Terra,1284768000000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.97,0.8164210526315788,0.74,0.0875442745129573,2010-09-21,Terra,5,Terra,1285027200000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.98,0.6695159097090018,0.28,0.207966896672928,2010-09-22,Terra,39,Terra,1285113600000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.26,0.1831818181818182,0.13,0.065,2010-09-25,Terra,2,Terra,1285372800000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.27,0.13797427652733119,0.11,0.05034574339058896,2010-09-26,Terra,7,Terra,1285459200000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.16,0.14927272727272728,0.14,0.00816496580927681,2010-09-27,Terra,3,Terra,1285545600000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.09,0.09,0.09,0.0,2010-09-28,Terra,1,Terra,1285632000000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.9400000000000001,0.5675828773736724,0.22,0.2631391029474716,2010-09-29,Terra,32,Terra,1285718400000,2010,9,Fall,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.79,0.6275479898587468,0.41000000000000003,0.09974912976507061,2011-06-01,Terra,30,Terra,1306886400000,2011,6,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
0.71,0.6549541284403669,0.65,0.03000000000000205,2011-06-05,Terra,2,Terra,1307232000000,2011,6,Summer,True,Literature-based (Terra priority + Aqua gap-filling),121,121,121,121,True,cqa1f012456,"Advanced QA, cqa1f012456 level"
