albedo_max,albedo_mean,albedo_min,albedo_stdDev,date,pixel_count,timestamp,year,month,season,elevation,glacier_median_elevation,glacier_min_elevation,glacier_max_elevation
0.66,0.6048908730158732,0.19,0.15751903027240616,2015-06-01,7,1433116800000,2015,6,Été,2803.263943126064,2482.6954482512174,2046,3298
0.6900000000000001,0.5769249249249251,0.21,0.10931605554537731,2015-06-04,16,1433376000000,2015,6,Été,2843.9681180875937,2482.6954482512174,2046,3298
0.71,0.643981981981982,0.41000000000000003,0.10669582934679299,2015-06-04,5,1433376000000,2015,6,Été,2856.0236928378313,2482.6954482512174,2046,3298
0.49,0.41369261477045904,0.32,0.058172158288995836,2015-06-05,5,1433462400000,2015,6,Été,2125.9991378914037,2482.6954482512174,2046,3298
0.61,0.4291766586730616,0.16,0.13680774109929336,2015-06-05,18,1433462400000,2015,6,Été,2873.9462157182998,2482.6954482512174,2046,3298
0.32,0.22721987315010575,0.17,0.040031875054862755,2015-06-06,14,1433548800000,2015,6,Été,2843.7535750374373,2482.6954482512174,2046,3298
0.39,0.33126068376068385,0.31,0.03006659275674571,2015-06-06,5,1433548800000,2015,6,Été,2175.121227906415,2482.6954482512174,2046,3298
0.29,0.22997474747474744,0.18,0.035340905362437135,2015-06-08,7,1433721600000,2015,6,Été,2763.4159854549944,2482.6954482512174,2046,3298
0.37,0.27313725490196084,0.22,0.05557777333511005,2015-06-08,9,1433721600000,2015,6,Été,2841.1329949479423,2482.6954482512174,2046,3298
0.27,0.2056807935076645,0.15,0.03171943330167773,2015-06-09,14,1433808000000,2015,6,Été,2197.320314864835,2482.6954482512174,2046,3298
0.29,0.22907103825136613,0.16,0.03627638806938948,2015-06-09,13,1433808000000,2015,6,Été,2487.830961245718,2482.6954482512174,2046,3298
0.43,0.2608413926499033,0.2,0.05926305235979691,2015-06-10,16,1433894400000,2015,6,Été,2906.9372129760936,2482.6954482512174,2046,3298
0.43,0.2350683229813665,0.18,0.07488880646220313,2015-06-10,12,1433894400000,2015,6,Été,2916.098459848301,2482.6954482512174,2046,3298
0.74,0.5169467487289271,0.14,0.20805159727343528,2015-06-15,34,1434326400000,2015,6,Été,2156.531597108568,2482.6954482512174,2046,3298
0.73,0.5394721078247846,0.21,0.19398709982356846,2015-06-15,28,1434326400000,2015,6,Été,2158.213855486968,2482.6954482512174,2046,3298
0.29,0.2490104166666667,0.15,0.05356071321407147,2015-06-16,4,1434412800000,2015,6,Été,2855.0110525244663,2482.6954482512174,2046,3298
0.5,0.3623095823095823,0.19,0.09429195205436282,2015-06-17,12,1434499200000,2015,6,Été,2197.561326628183,2482.6954482512174,2046,3298
0.58,0.58,0.58,0.0,2015-06-19,1,1434672000000,2015,6,Été,2218.0512680892975,2482.6954482512174,2046,3298
0.61,0.27631961259079907,0.13,0.17218279118496982,2015-06-19,9,1434672000000,2015,6,Été,2608.0284025849824,2482.6954482512174,2046,3298
0.8,0.47342256214149153,0.06,0.21982727797124804,2015-06-20,37,1434758400000,2015,6,Été,2620.4779563327415,2482.6954482512174,2046,3298
0.2,0.15397515527950312,0.07,0.06500000000000003,2015-06-20,2,1434758400000,2015,6,Été,2687.3992738187562,2482.6954482512174,2046,3298
0.35000000000000003,0.2813035714285714,0.24,0.03799671038392694,2015-06-21,8,1434844800000,2015,6,Été,2860.9063011910985,2482.6954482512174,2046,3298
0.24,0.17739130434782616,0.13,0.035114923483323825,2015-06-22,11,1434931200000,2015,6,Été,2351.2500827000704,2482.6954482512174,2046,3298
0.71,0.32901064495929877,0.21,0.1591488129745296,2015-06-22,21,1434931200000,2015,6,Été,2539.0446447507506,2482.6954482512174,2046,3298
0.48,0.23193732193732194,0.16,0.08558215675919577,2015-06-23,12,1435017600000,2015,6,Été,2782.5950631261135,2482.6954482512174,2046,3298
0.51,0.16743506493506496,0.15,0.09499634495892753,2015-06-24,12,1435104000000,2015,6,Été,2299.2085037015536,2482.6954482512174,2046,3298
0.26,0.23505524861878452,0.2,0.020000000000000285,2015-06-24,5,1435104000000,2015,6,Été,2598.2235676543874,2482.6954482512174,2046,3298
0.19,0.17194508009153314,0.15,0.016996731711975965,2015-06-25,6,1435190400000,2015,6,Été,2238.1978654257014,2482.6954482512174,2046,3298
0.18,0.18,0.18,0.0,2015-06-25,1,1435190400000,2015,6,Été,2180.59508139478,2482.6954482512174,2046,3298
0.37,0.19554848966613672,0.15,0.05569981270886349,2015-06-26,18,1435276800000,2015,6,Été,2491.8990420960295,2482.6954482512174,2046,3298
0.51,0.21222897669706184,0.13,0.09938679175323045,2015-06-26,16,1435276800000,2015,6,Été,2837.816817908184,2482.6954482512174,2046,3298
0.18,0.1527231467473525,0.13,0.019309052441091965,2015-06-27,9,1435363200000,2015,6,Été,2177.8887733093325,2482.6954482512174,2046,3298
0.26,0.1564853195164076,0.1,0.03827386691841949,2015-06-28,15,1435449600000,2015,6,Été,2855.0217056626707,2482.6954482512174,2046,3298
0.47000000000000003,0.22528455284552848,0.17,0.09267865629870413,2015-06-28,15,1435449600000,2015,6,Été,2919.7512283232463,2482.6954482512174,2046,3298
0.8,0.4275552578700602,0.25,0.18941312872484145,2015-06-30,15,1435622400000,2015,6,Été,2900.0895916094555,2482.6954482512174,2046,3298
0.28,0.23642947903430753,0.21,0.025612496949731414,2015-07-01,10,1435708800000,2015,7,Été,2177.412000455505,2482.6954482512174,2046,3298
0.3,0.14648377125193193,0.08,0.061411957886299114,2015-07-02,14,1435795200000,2015,7,Été,2197.980839827758,2482.6954482512174,2046,3298
0.18,0.15453355155482815,0.13,0.019688939051854794,2015-07-02,9,1435795200000,2015,7,Été,2339.4813878848927,2482.6954482512174,2046,3298
0.2,0.1647608695652174,0.12,0.025232645333625806,2015-07-04,13,1435968000000,2015,7,Été,2602.585141175477,2482.6954482512174,2046,3298
0.6,0.3895761802575107,0.17,0.14389005464620178,2015-07-05,23,1436054400000,2015,7,Été,2866.27889997653,2482.6954482512174,2046,3298
0.59,0.3196686746987952,0.1,0.1835919388208535,2015-07-05,20,1436054400000,2015,7,Été,2847.8875222804886,2482.6954482512174,2046,3298
0.48,0.27195652173913043,0.19,0.1450000000000001,2015-07-06,2,1436140800000,2015,7,Été,2884.7487095300717,2482.6954482512174,2046,3298
0.24,0.18563636363636363,0.07,0.041707979518978734,2015-07-06,15,1436140800000,2015,7,Été,2526.3343392133443,2482.6954482512174,2046,3298
0.43,0.23463960231980116,0.17,0.0638792263224559,2015-07-07,18,1436227200000,2015,7,Été,2178.5487427152884,2482.6954482512174,2046,3298
0.5700000000000001,0.46057071960297774,0.12,0.1796691403663969,2015-07-07,10,1436227200000,2015,7,Été,2747.551945873253,2482.6954482512174,2046,3298
0.25,0.14828530259365996,0.05,0.05313323344073618,2015-07-08,11,1436313600000,2015,7,Été,2819.5799582056843,2482.6954482512174,2046,3298
0.22,0.17234961075725405,0.14,0.024462982238475876,2015-07-08,16,1436313600000,2015,7,Été,2868.445631815689,2482.6954482512174,2046,3298
0.55,0.2431136738056013,0.18,0.08615231988880062,2015-07-09,18,1436400000000,2015,7,Été,2204.7696220648277,2482.6954482512174,2046,3298
0.22,0.15304592314901594,0.12,0.033388514483401216,2015-07-09,13,1436400000000,2015,7,Été,2206.2084053794856,2482.6954482512174,2046,3298
0.46,0.22849643551523008,0.16,0.07837059469838585,2015-07-10,21,1436486400000,2015,7,Été,2167.407510113838,2482.6954482512174,2046,3298
0.35000000000000003,0.1897525773195876,0.17,0.045098891722547586,2015-07-10,17,1436486400000,2015,7,Été,2873.7858102939094,2482.6954482512174,2046,3298
0.19,0.13232265446224253,0.06,0.04848106045808506,2015-07-11,11,1436572800000,2015,7,Été,2725.7504263466417,2482.6954482512174,2046,3298
0.33,0.18169545745361484,0.13,0.05161395160225581,2015-07-11,20,1436572800000,2015,7,Été,2209.4221382451246,2482.6954482512174,2046,3298
0.52,0.4104360679970436,0.2,0.08819171036881916,2015-07-13,9,1436745600000,2015,7,Été,2717.6267393984967,2482.6954482512174,2046,3298
0.56,0.2853623188405797,0.17,0.10662727691109111,2015-07-14,23,1436832000000,2015,7,Été,2853.3811116107668,2482.6954482512174,2046,3298
0.5700000000000001,0.26926675094816693,0.13,0.1295637945550536,2015-07-14,11,1436832000000,2015,7,Été,2184.4064693136775,2482.6954482512174,2046,3298
0.84,0.686599176389842,0.17,0.26690061352496003,2015-07-16,24,1437004800000,2015,7,Été,2734.3680048203314,2482.6954482512174,2046,3298
0.61,0.5646387520525451,0.45,0.06216108107167986,2015-07-16,10,1437004800000,2015,7,Été,2891.484369544211,2482.6954482512174,2046,3298
0.19,0.19,0.19,0.0,2015-07-17,1,1437091200000,2015,7,Été,2197.5347681669705,2482.6954482512174,2046,3298
0.18,0.17745882352941178,0.17,0.004330127018921955,2015-07-18,4,1437177600000,2015,7,Été,2826.3457024683225,2482.6954482512174,2046,3298
0.44,0.44,0.44,0.0,2015-07-19,1,1437264000000,2015,7,Été,2897.0269223216865,2482.6954482512174,2046,3298
0.4,0.19929078014184395,0.18,0.09568466729604878,2015-07-19,3,1437264000000,2015,7,Été,2163.686064147999,2482.6954482512174,2046,3298
0.19,0.15045558086560365,0.12,0.026299556396765792,2015-07-20,6,1437350400000,2015,7,Été,2488.786994267928,2482.6954482512174,2046,3298
0.25,0.18447891805887034,0.16,0.02186829262247585,2015-07-20,15,1437350400000,2015,7,Été,2399.2530499260006,2482.6954482512174,2046,3298
0.41000000000000003,0.35610169491525423,0.35000000000000003,0.028284271247462307,2015-07-21,3,1437436800000,2015,7,Été,2723.058153873274,2482.6954482512174,2046,3298
0.24,0.21387387387387383,0.2,0.016000000000000368,2015-07-22,5,1437523200000,2015,7,Été,2214.2524725030053,2482.6954482512174,2046,3298
0.24,0.18434402332361513,0.13,0.04493050188902853,2015-07-23,4,1437609600000,2015,7,Été,2197.0470403620525,2482.6954482512174,2046,3298
0.44,0.44,0.44,0.0,2015-07-25,1,1437782400000,2015,7,Été,2196.1669056477267,2482.6954482512174,2046,3298
0.24,0.24,0.24,0.0,2015-07-26,1,1437868800000,2015,7,Été,2374.465411175929,2482.6954482512174,2046,3298
0.77,0.49450800237107284,0.1,0.23668098548233396,2015-07-26,30,1437868800000,2015,7,Été,2872.0932111760926,2482.6954482512174,2046,3298
0.72,0.654889455782313,0.56,0.0597782360060917,2015-07-27,8,1437955200000,2015,7,Été,2431.762653047354,2482.6954482512174,2046,3298
0.63,0.5811111111111112,0.54,0.03741657386773834,2015-07-28,3,1438041600000,2015,7,Été,2710.0559751246356,2482.6954482512174,2046,3298
0.23,0.19743785850860415,0.14,0.02953340857778227,2015-07-29,12,1438128000000,2015,7,Été,2220.1429964530007,2482.6954482512174,2046,3298
0.37,0.37,0.37,0.0,2015-07-29,1,1438128000000,2015,7,Été,2875.1093259953645,2482.6954482512174,2046,3298
0.61,0.24605709188224803,0.17,0.12737346662472532,2015-07-30,15,1438214400000,2015,7,Été,2834.383382198402,2482.6954482512174,2046,3298
0.55,0.27956896551724136,0.06,0.16050585714395219,2015-07-30,13,1438214400000,2015,7,Été,2835.343725160618,2482.6954482512174,2046,3298
0.17,0.11547131147540983,0.05,0.046134532204503705,2015-07-31,9,1438300800000,2015,7,Été,2845.00241792832,2482.6954482512174,2046,3298
0.37,0.23719638826185102,0.14,0.059548299723837614,2015-07-31,20,1438300800000,2015,7,Été,2164.27113233701,2482.6954482512174,2046,3298
0.31,0.21323830409356728,0.16,0.03758324094593242,2015-08-01,16,1438387200000,2015,8,Été,2181.3707762415493,2482.6954482512174,2046,3298
0.39,0.20226950354609932,0.12,0.07504731018119232,2015-08-01,9,1438387200000,2015,8,Été,2163.703193766544,2482.6954482512174,2046,3298
0.3,0.2721951219512195,0.26,0.019999999999999938,2015-08-02,2,1438473600000,2015,8,Été,2116.113742350772,2482.6954482512174,2046,3298
0.45,0.30350515463917527,0.15,0.10034260836381738,2015-08-03,13,1438560000000,2015,8,Été,2653.001880026576,2482.6954482512174,2046,3298
0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,2015-08-04,1,1438646400000,2015,8,Été,2197.0098705194314,2482.6954482512174,2046,3298
0.41000000000000003,0.218214093598709,0.14,0.07662376794480226,2015-08-05,21,1438732800000,2015,8,Été,2720.2094587368083,2482.6954482512174,2046,3298
0.24,0.22472826086956518,0.17,0.024257571025684495,2015-08-05,11,1438732800000,2015,8,Été,2734.461789609598,2482.6954482512174,2046,3298
0.31,0.25905050505050503,0.24,0.0296647939483827,2015-08-07,5,1438905600000,2015,8,Été,2235.1359031638003,2482.6954482512174,2046,3298
0.19,0.14217961654894046,0.11,0.02691292543659184,2015-08-07,12,1438905600000,2015,8,Été,2335.346447288875,2482.6954482512174,2046,3298
0.5700000000000001,0.2793460925039872,0.16,0.13382320620516877,2015-08-08,17,1438992000000,2015,8,Été,2855.6784830171455,2482.6954482512174,2046,3298
0.5700000000000001,0.5332592592592593,0.11,0.18785337071473843,2015-08-08,3,1438992000000,2015,8,Été,2880.254732461454,2482.6954482512174,2046,3298
0.37,0.1708947885939036,0.09,0.08399070109138568,2015-08-09,13,1439078400000,2015,8,Été,2130.361552917667,2482.6954482512174,2046,3298
0.23,0.12771573604060918,0.05,0.06073622386096198,2015-08-09,6,1439078400000,2015,8,Été,2831.449065381459,2482.6954482512174,2046,3298
0.23,0.17057173678532903,0.12,0.035433819375782105,2015-08-11,12,1439251200000,2015,8,Été,2829.592268075526,2482.6954482512174,2046,3298
0.37,0.15391623036649216,0.05,0.09539081865684798,2015-08-11,13,1439251200000,2015,8,Été,2194.8475113098116,2482.6954482512174,2046,3298
0.22,0.12826046511627906,0.1,0.03952379254973877,2015-08-12,13,1439337600000,2015,8,Été,2884.173097140842,2482.6954482512174,2046,3298
0.13,0.0802511078286558,0.06,0.030550504633038916,2015-08-12,9,1439337600000,2015,8,Été,2224.8387967325066,2482.6954482512174,2046,3298
0.42,0.35796703296703297,0.16,0.08919392106839776,2015-08-13,6,1439424000000,2015,8,Été,2830.0590608002835,2482.6954482512174,2046,3298
0.44,0.18330085261875767,0.05,0.09731077923386512,2015-08-13,14,1439424000000,2015,8,Été,2179.3482070905598,2482.6954482512174,2046,3298
0.67,0.2560026737967915,0.05,0.21478415073035229,2015-08-16,11,1439683200000,2015,8,Été,2231.184865395312,2482.6954482512174,2046,3298
0.32,0.32,0.32,0.0,2015-08-16,1,1439683200000,2015,8,Été,2723.09427723665,2482.6954482512174,2046,3298
0.38,0.35927272727272724,0.32,0.03000000000000043,2015-08-17,2,1439769600000,2015,8,Été,2858.013962707763,2482.6954482512174,2046,3298
0.5700000000000001,0.28600000000000003,0.11,0.16101717489834713,2015-08-18,14,1439856000000,2015,8,Été,2195.1155524108613,2482.6954482512174,2046,3298
0.63,0.44755651237890204,0.21,0.117217746096741,2015-08-18,10,1439856000000,2015,8,Été,2114.704419342079,2482.6954482512174,2046,3298
0.18,0.13483516483516483,0.08,0.029485382057929006,2015-08-19,7,1439942400000,2015,8,Été,2308.4420906980504,2482.6954482512174,2046,3298
0.5,0.4484694184995481,0.37,0.03647056403205423,2015-08-20,28,1440028800000,2015,8,Été,2149.2762623055287,2482.6954482512174,2046,3298
0.77,0.5786366421568626,0.32,0.11425648976992633,2015-08-22,33,1440201600000,2015,8,Été,2862.2855460036835,2482.6954482512174,2046,3298
0.91,0.6823330568228948,0.38,0.10231541645541155,2015-08-22,45,1440201600000,2015,8,Été,2842.608181007109,2482.6954482512174,2046,3298
0.47000000000000003,0.3828081198646689,0.32,0.052996919432999105,2015-08-23,14,1440288000000,2015,8,Été,2189.6010140229355,2482.6954482512174,2046,3298
0.43,0.3161244019138756,0.22,0.07313301238155036,2015-08-23,16,1440288000000,2015,8,Été,2217.0749699323464,2482.6954482512174,2046,3298
0.54,0.213395390070922,0.17,0.08663788114317895,2015-08-24,14,1440374400000,2015,8,Été,2148.832536855333,2482.6954482512174,2046,3298
0.12,0.09401028277634962,0.06,0.019390719429665387,2015-08-24,5,1440374400000,2015,8,Été,2420.887584443539,2482.6954482512174,2046,3298
0.53,0.24778232405891978,0.17,0.13038139421895106,2015-08-25,17,1440460800000,2015,8,Été,2867.3134845851923,2482.6954482512174,2046,3298
0.56,0.28466031746031745,0.19,0.13644177521819076,2015-08-25,18,1440460800000,2015,8,Été,2491.7213136297787,2482.6954482512174,2046,3298
0.54,0.37118455971049447,0.24,0.09399184603028814,2015-08-26,42,1440547200000,2015,8,Été,2298.372821345935,2482.6954482512174,2046,3298
0.44,0.3540632183908046,0.22,0.07892612579706004,2015-08-26,15,1440547200000,2015,8,Été,2378.003812838754,2482.6954482512174,2046,3298
0.3,0.14622914349276975,0.09,0.05662081913716285,2015-08-27,13,1440633600000,2015,8,Été,2454.489764673599,2482.6954482512174,2046,3298
0.52,0.27921958684009185,0.1,0.13902837440209423,2015-08-27,15,1440633600000,2015,8,Été,2840.37549016963,2482.6954482512174,2046,3298
0.25,0.2031044776119403,0.14,0.04145780987944256,2015-08-29,4,1440806400000,2015,8,Été,2812.94538725569,2482.6954482512174,2046,3298
0.5,0.2466532258064516,0.08,0.1345085944595031,2015-08-31,11,1440979200000,2015,8,Été,2204.3035407931757,2482.6954482512174,2046,3298
0.67,0.5245229468599034,0.21,0.127527086906025,2015-09-02,19,1441152000000,2015,9,Automne,2388.704248313934,2482.6954482512174,2046,3298
0.28,0.2161821903787103,0.15,0.036063717445326146,2015-09-10,13,1441843200000,2015,9,Automne,2871.9835388037873,2482.6954482512174,2046,3298
0.78,0.309426111908178,0.21,0.1813723197385614,2015-09-10,14,1441843200000,2015,9,Automne,2309.714486077023,2482.6954482512174,2046,3298
0.59,0.28277061855670105,0.11,0.16782517467948116,2015-09-11,11,1441929600000,2015,9,Automne,2408.0730201235137,2482.6954482512174,2046,3298
0.53,0.3242869127516778,0.22,0.09785237097378024,2015-09-11,17,1441929600000,2015,9,Automne,2179.2803993276475,2482.6954482512174,2046,3298
0.62,0.28208333333333335,0.09,0.19364916731037082,2015-09-12,8,1442016000000,2015,9,Automne,2328.953283157874,2482.6954482512174,2046,3298
0.74,0.20809523809523808,0.09,0.18754423346552898,2015-09-12,9,1442016000000,2015,9,Automne,2261.895780101947,2482.6954482512174,2046,3298
0.16,0.1444728434504792,0.1,0.025298221281347122,2015-09-13,5,1442102400000,2015,9,Automne,2827.2311066114385,2482.6954482512174,2046,3298
0.28,0.18426568265682658,0.15,0.030331501776206363,2015-09-13,15,1442102400000,2015,9,Automne,2208.0258821990583,2482.6954482512174,2046,3298
0.52,0.5085714285714286,0.5,0.009999999999999449,2015-09-19,2,1442620800000,2015,9,Automne,2175.7895435144783,2482.6954482512174,2046,3298
0.88,0.6131228826609177,0.2,0.22207164683167133,2015-09-19,28,1442620800000,2015,9,Automne,2531.1186620900808,2482.6954482512174,2046,3298
0.9400000000000001,0.6793070175438596,0.31,0.13702047064216324,2015-09-21,16,1442793600000,2015,9,Automne,2856.28167800943,2482.6954482512174,2046,3298
0.9,0.6938594119635013,0.25,0.1881607405536931,2015-09-21,28,1442793600000,2015,9,Automne,2858.766533753987,2482.6954482512174,2046,3298
0.9500000000000001,0.7495032573289903,0.12,0.29273086278131205,2015-09-23,9,1442966400000,2015,9,Automne,2182.072291995538,2482.6954482512174,2046,3298
0.8,0.26463099630996306,0.12,0.20254629100529095,2015-09-23,8,1442966400000,2015,9,Automne,2826.5705642639855,2482.6954482512174,2046,3298
0.79,0.7380398322851153,0.6900000000000001,0.03217789096051579,2015-09-26,12,1443225600000,2015,9,Automne,2286.045053843975,2482.6954482512174,2046,3298
0.81,0.6100337040781936,0.49,0.08782345928053657,2015-09-26,25,1443225600000,2015,9,Automne,2158.283262654733,2482.6954482512174,2046,3298
0.41000000000000003,0.352808764940239,0.27,0.04865538961693208,2015-09-27,7,1443312000000,2015,9,Automne,2516.670193123414,2482.6954482512174,2046,3298
0.88,0.5995733855185911,0.05,0.22356600814971844,2015-09-28,25,1443398400000,2015,9,Automne,2858.236547224985,2482.6954482512174,2046,3298
0.93,0.5373954703832754,0.19,0.2721791349120676,2015-09-28,27,1443398400000,2015,9,Automne,2217.755337188133,2482.6954482512174,2046,3298
0.31,0.23292894280762563,0.18,0.045624912636203656,2015-09-29,7,1443484800000,2015,9,Automne,2847.8847029153053,2482.6954482512174,2046,3298
0.62,0.25065656565656563,0.11,0.16608431593621362,2015-09-29,10,1443484800000,2015,9,Automne,2404.6532747673564,2482.6954482512174,2046,3298
0.61,0.5278461538461537,0.42,0.08154753215150039,2016-06-01,4,1464739200000,2016,6,Été,2205.1285337549293,2482.6954482512174,2046,3298
0.91,0.6674193548387096,0.25,0.23091605016157338,2016-06-02,6,1464825600000,2016,6,Été,2199.842220910457,2482.6954482512174,2046,3298
0.42,0.33369230769230773,0.31,0.05185449728701331,2016-06-03,3,1464912000000,2016,6,Été,2821.1727023992134,2482.6954482512174,2046,3298
0.22,0.1991050583657588,0.16,0.021343747458109404,2016-06-04,6,1464998400000,2016,6,Été,2824.3910375582586,2482.6954482512174,2046,3298
0.27,0.24673410404624277,0.16,0.03771236166328242,2016-06-04,9,1464998400000,2016,6,Été,2652.102881586604,2482.6954482512174,2046,3298
0.37,0.28059329320722265,0.19,0.04769286503241339,2016-06-05,16,1465084800000,2016,6,Été,2167.7602131865556,2482.6954482512174,2046,3298
0.31,0.21920489296636086,0.14,0.05178448274397663,2016-06-05,7,1465084800000,2016,6,Été,2190.8455213036787,2482.6954482512174,2046,3298
0.29,0.1917436661698957,0.12,0.04775981574503839,2016-06-06,10,1465171200000,2016,6,Été,2186.127578898896,2482.6954482512174,2046,3298
0.37,0.3063838383838384,0.29,0.026649654437396465,2016-06-06,7,1465171200000,2016,6,Été,2185.978936068335,2482.6954482512174,2046,3298
0.48,0.30065984072810015,0.24,0.06608976579514521,2016-06-07,14,1465257600000,2016,6,Été,2399.305045525745,2482.6954482512174,2046,3298
0.25,0.21063257065948854,0.14,0.035697416651006536,2016-06-07,12,1465257600000,2016,6,Été,2719.767708844873,2482.6954482512174,2046,3298
0.7000000000000001,0.6165039577836412,0.5700000000000001,0.043241444069399865,2016-06-10,13,1465516800000,2016,6,Été,2306.506195205225,2482.6954482512174,2046,3298
0.74,0.74,0.74,0.0,2016-06-19,1,1466294400000,2016,6,Été,2466.2027531267254,2482.6954482512174,2046,3298
0.59,0.33207692307692305,0.19,0.14799510471771757,2016-06-20,14,1466380800000,2016,6,Été,2189.6856600732085,2482.6954482512174,2046,3298
0.24,0.17687819856704196,0.13,0.033388514483401084,2016-06-20,13,1466380800000,2016,6,Été,2935.8193846715167,2482.6954482512174,2046,3298
0.24,0.19685618729096993,0.13,0.03142696805273565,2016-06-26,9,1466899200000,2016,6,Été,2875.910526105604,2482.6954482512174,2046,3298
0.67,0.4398821396192203,0.16,0.19472246078635586,2016-06-26,14,1466899200000,2016,6,Été,2181.0773760059787,2482.6954482512174,2046,3298
0.61,0.3937724550898204,0.1,0.20372822659469328,2016-06-27,17,1466985600000,2016,6,Été,2225.993600607504,2482.6954482512174,2046,3298
0.24,0.2295806150978564,0.18,0.01549957052277649,2016-06-27,13,1466985600000,2016,6,Été,2853.430882801667,2482.6954482512174,2046,3298
