albedo_max,albedo_mean,albedo_min,albedo_stdDev,date,pixel_count,timestamp,year,month,season,qa_advanced,qa_level,qa_description
0.46,0.46,0.46,0.0,2010-06-05,1,1275696000000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.77,0.6560608856088562,0.52,0.07480014524314012,2010-06-05,18,1275696000000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.77,0.5380361946686233,0.29,0.1351231148724733,2010-06-06,36,1275782400000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.9,0.7387749782797567,0.6900000000000001,0.05704665623552901,2010-06-06,18,1275782400000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.81,0.6998208955223881,0.52,0.10880949486529036,2010-06-10,9,1276128000000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.96,0.6803852080123266,0.3,0.16926763013714383,2010-06-11,14,1276214400000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.75,0.5604139274409545,0.23,0.13268160446446756,2010-06-12,35,1276300800000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.6900000000000001,0.5385849056603774,0.19,0.14663462853539852,2010-06-12,35,1276300800000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.37,0.2837158469945355,0.19,0.06941721688457428,2010-06-13,4,1276387200000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.86,0.6388505372842722,0.4,0.11087553266122874,2010-06-14,23,1276473600000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.68,0.4879501385041551,0.2,0.133814973705967,2010-06-14,27,1276473600000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.72,0.5442696296296298,0.32,0.11926432656849598,2010-06-20,28,1276992000000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.65,0.5768859649122807,0.54,0.039290584113753704,2010-06-21,8,1277078400000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.7000000000000001,0.6191508857666463,0.58,0.0325729949498057,2010-06-21,10,1277078400000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.73,0.5646489104116224,0.27,0.10936607106411066,2010-06-22,16,1277164800000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.79,0.6792881355932203,0.37,0.13542884560617913,2010-06-22,12,1277164800000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.81,0.5635793790275337,0.31,0.17618448348882007,2010-06-26,12,1277510400000,2010,6,Summer,True,standard,"Advanced QA, standard level"
0.72,0.6945611015490535,0.67,0.017078251276603267,2010-06-26,6,1277510400000,2010,6,Summer,True,standard,"Advanced QA, standard level"
